X,Y,OBJECTID,NonAssetID,Owner,MaintResp,LocationID,ImagePath,BikeParkType,NumberRacks,NumberSpaces,InStreet
-13651845.5548,5703657.5788,205,0012-0000265,PDXTRANS,PDXTRANS,BF52465,,CORRAL,6,12,Y
-13654168.8093,5703652.1755,206,0012-0000266,PDXTRANS,PDXTRANS,BF52573,,CORRAL,6,12,Y
-13655932.1664,5704183.8044,207,0012-0000267,PDXTRANS,PDXTRANS,BF56167,,CORRAL,6,12,Y
-13654240.5068,5711983.8673,208,0012-0000268,PDXTRANS,PDXTRANS,BF19185,,CORRAL,6,12,Y
-13650108.9138,5706232.9421,209,0012-0000269,PDXTRANS,PDXTRANS,BF25172,,CORRAL,6,12,Y
-13656943.6156,5710107.3573,210,0012-0000270,PDXTRANS,PDXTRANS,BF4597,,CORRAL,6,12,Y
-13656232.1181,5701634.4786,211,0012-0000271,PDXTRANS,PDXTRANS,BF67014,,CORRAL,6,12,Y
-13649981.3853,5706468.2895,212,0012-0000276,PDXTRANS,PDXTRANS,BF14279,,CORRAL,4,8,Y
-13655000.3697,5702633.9293,213,0012-0000279,PDXTRANS,PDXTRANS,BF35069,,CORRAL,3,6,Y
-13654178.8881,5704711.7913,214,0012-0000280,PDXTRANS,PDXTRANS,BF16819,,CORRAL,3,6,Y
-13657514.9597,5702880.6135,215,0012-0000281,PDXTRANS,PDXTRANS,BF54783,,CORRAL,6,12,Y
-13654888.7065,5702650.3189,216,0012-0000282,PDXTRANS,PDXTRANS,BF48417,,CORRAL,3,6,Y
-13647986.701,5709166.5876,217,0012-0000283,PDXTRANS,PDXTRANS,BF18964,,CORRAL,6,12,Y
-13654499.8325,5703308.5893,218,0012-0000284,PDXTRANS,PDXTRANS,BF49819,,CORRAL,6,12,Y
-13656411.8416,5704556.3173,219,0012-0000286,PDXTRANS,PDXTRANS,BF28617,,BSHARE,18,18,N
-13657373.153,5705811.2362,220,0012-0000287,PDXTRANS,PDXTRANS,BF30626,,BSHARE,18,18,Y
-13650112.4678,5702486.5737,221,0012-0000288,PDXTRANS,PRIVATE,BF46375,,BSHARE,6,6,N
-13650123.261,5702468.4955,222,0012-0000289,PDXTRANS,PDXTRANS,BF37014,,BSHARE,12,12,N
-13655772.5051,5699679.3625,223,0012-0000290,PDXTRANS,PRIVATE,BF63755,,BSHARE,18,18,N
-13655847.7569,5703411.965,224,0012-0000291,PDXTRANS,PRIVATE,BF63989,,BSHARE,10,10,N
-13655840.1286,5703432.0836,225,0012-0000292,PDXTRANS,PRIVATE,BF63989,,BSHARE,8,8,N
-13653529.1946,5703530.6192,226,0012-0000293,PDXTRANS,PDXTRANS,BF33692,,BSHARE,18,18,N
-13655951.9657,5702046.7218,227,0012-0000294,PDXTRANS,PRIVATE,BF63727,,BSHARE,11,11,N
-13655949.0867,5702006.1596,228,0012-0000295,PDXTRANS,PRIVATE,BF65359,,BSHARE,10,10,N
-13651535.6679,5701351.9195,229,0012-0000296,PDXTRANS,PDXTRANS,BF44173,,CORRAL,6,12,Y
-13655075.5485,5702990.7792,230,0012-0000298,PDXTRANS,PDXTRANS,BF53100,,CORRAL,6,12,Y
-13656332.4259,5707105.8924,231,0012-0000297,PDXTRANS,PDXTRANS,BF7532,,CORRAL,10,20,Y
-13652488.3756,5706156.7365,232,0012-0000299,PDXTRANS,PDXTRANS,BF18195,,CORRAL,3,6,Y
-13654392.737,5704446.3003,233,0012-0000300,PDXTRANS,PDXTRANS,BF19076,,CORRAL,6,12,Y
-13654429.1253,5710560.1189,234,0012-0000301,PDXTRANS,PDXTRANS,BF22557,,CORRAL,3,6,Y
-13656511.008,5702980.4247,235,0012-0000302,PDXTRANS,PDXTRANS,BF56730,,CORRAL,6,12,Y
-13657471.1624,5711686.1627,236,0012-0000303,PDXTRANS,PDXTRANS,BF7132,,CORRAL,3,6,Y
-13658200.8406,5703513.0379,237,0012-0000304,PDXTRANS,PDXTRANS,BF55288,,CORRAL,6,12,Y
-13653826.9782,5704142.8069,238,0012-0000305,PDXTRANS,PDXTRANS,BF51951,,CORRAL,6,12,Y
-13657379.4317,5705572.5524,239,0012-0000306,PDXTRANS,PDXTRANS,BF30319,,CORRAL,6,12,Y
-13657771.191,5704080.7085,240,0012-0000309,PDXTRANS,PDXTRANS,BF63803,,BSHARE,20,20,N
-13651830.5248,5702488.1646,241,0012-0000308,PDXTRANS,PDXTRANS,BF46361,,BSHARE,18,18,N
-13654673.2638,5704332.7749,242,0012-0000310,PDXTRANS,PDXTRANS,BF18884,,BSHARE,6,6,N
